RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4198461178,1,56,1,2,,,,,1,,,,4,4,,1,,7,4,,5'2,1.57,190,86.18,34.75,4,3,4,4,4,5,4,4,4,3,3,3
4198461525,1,50,1,3,,,,,1,,,,1,1,,1,,7,4,,5'7,1.7,170,77.11,26.63,4,6,2,5,5,5,7,7,5,3,3,1
4198463024,1,52,1,3,,,,1,,,,,3,4,,1,,6,7,,5 feet 7 inches.,1.7,155,70.31,24.28,3,3,3,3,2,3,3,3,5,3,2,2
4198464240,1,37,1,3,,,,1,,,,,4,4,,1,,7,7,,64,1.93,130,58.97,15.82,1,1,1,1,1,1,1,1,1,1,1,1
4198464262,1,24,1,2,1,,,,,,,,4,0,Hispanic,1,,7,5,,5 foot 2 inches,1.57,141,63.96,25.79,2,3,1,1,1,5,1,1,1,1,1,3
4198464675,1,22,1,3,1,,,,,,,,3,4,,1,,7,9,,5'3,1.6,175,79.38,31,6,7,5,5,4,5,5,6,6,7,4,6
4198466680,1,33,1,2,,,,,,,1,,4,0,white,1,,7,4,,5 feet 6 inches,1.68,157 pounds,71.21,25.34,1,4,2,4,1,1,4,2,2,4,1,6
4198468143,1,54,1,3,,,,,,1,,,1,4,,1,,7,1,,5'2,1.57,145,65.77,26.52,2,2,1,1,2,2,1,2,1,1,1,1
4198469461,1,55,1,6,1,,,,,,,,1,4,,1,,7,6,,5'6,1.68,130,58.97,20.98,1,1,2,1,1,2,1,1,1,1,1,2
4198469593,1,27,1,4,,,,1,,,,,4,2,,1,,7,5,,5ft 3in,1.6,250,113.4,44.29,4,4,3,3,3,4,3,4,3,4,3,2
4198469604,1,51,1,2,,,,,,,1,,2,0,white,1,,7,4,,5ft 8in,1.73,144,65.32,21.89,2,2,1,2,1,2,2,2,2,1,1,1
4198469752,1,26,1,2,,,,,,,,1,6,0,white,1,,7,4,,5'2,1.57,165,74.84,30.18,4,4,4,4,4,4,4,4,4,4,4,4
4198470516,1,63,1,3,,,,,1,,,,3,0,Scandanivi,1,,7,8,,5' 4,1.63,230,104.33,39.48,6,3,3,2,3,6,1,6,1,4,1,3
4198472153,1,63,1,2,,,,1,,,,,2,4,,1,,7,5,,5.3,1.6,125,56.7,22.14,1,2,1,1,1,1,1,1,1,1,1,1
4198474544,1,31,1,6,,,,1,,,,,2,2,,1,,7,5,,5' 4,1.63,160,72.57,27.46,1,2,2,4,1,5,2,2,1,1,1,1
4198475873,1,55,1,3,,,,1,,,,,3,4,,1,,7,5,,5'6,1.68,154,69.85,24.86,2,2,2,2,4,2,2,7,4,2,2,2
4198476941,1,19,1,3,1,,,,,,,,3,3,,1,,7,1,,6 0,1.83,175,79.38,23.73,5,5,3,5,4,6,4,6,4,5,3,5
4198476986,1,47,1,2,,,,1,,,,,5,0,white,1,,7,4,,55,1.65,182,82.55,30.29,4,5,4,4,3,5,5,5,4,5,5,5
4198478180,1,60,1,6,,,,,,,1,,2,5,,1,,7,4,,5'5,1.65,165,74.84,27.46,4,4,4,3,3,4,4,4,4,2,4,2
4198478333,1,41,1,2,,,,1,,,,,2,2,,1,,7,5,,5'3,1.6,180,81.65,31.89,6,4,5,3,4,4,2,5,2,3,4,2
4198478582,1,41,1,4,,,1,1,,,,,5,4,,1,,7,9,,5' 9,1.75,165,74.84,24.37,6,6,2,2,2,5,7,6,7,4,2,6
4198478835,1,26,1,4,,,,1,,,,,4,4,,1,,7,6,,5'4,1.63,172,78.02,29.52,5,5,4,3,5,4,3,4,3,4,3,5
4198479486,1,40,1,4,1,,,,,,,,1,4,,1,,7,2,,5 feet 6 inches,1.68,180,81.65,29.05,5,4,3,4,3,7,5,6,6,5,4,5
4198479657,1,30,1,4,,1,,,1,,,,2,4,,1,,7,3,,5 feet 9 inches,1.75,160,72.57,23.63,3,3,3,2,2,4,2,4,2,3,2,4
4198481089,1,52,1,4,,,,1,,,,,2,4,,1,,7,10,,5'2,1.57,123,55.79,22.5,1,4,1,1,4,1,1,1,6,1,1,1
4198481687,1,47,1,3,,,,1,,,,,2,3,,1,,7,10,,5 feet 7 inches   67,1.7,187,84.82,29.29,3,4,3,3,3,4,4,3,3,3,2,3
4198483368,1,57,1,4,,,,,,1,,,5,4,,1,,7,4,,5' 3,1.6,165,74.84,29.23,2,2,1,2,2,3,2,3,4,2,2,1
4198483442,1,50,1,2,,,,1,,,,,2,2,,1,,7,12,,5'2,1.57,165,74.84,30.18,7,3,2,7,3,7,3,7,7,3,5,4
4198483594,1,30,1,3,1,,,,,,,,5,1,,1,,7,5,,5'7,1.7,150,68.04,23.49,2,5,2,2,2,1,2,1,2,1,1,1
